TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%;Comment
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#7;518849346;510000000;2;0;18;91000000;609849346;85.078;8.293;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#8;444592675;440000000;2;0;17;74000000;518592675;85.731;7.25;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.RowWorker#worker#9;416954791;410000000;2;0;15;85000000;501954791;83.066;6.861;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#0;2332085949;2150000000;7;0;17801;3051000000;5383085949;43.322;33.782;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#1;2305245510;2150000000;2;5000000;18360;3131000000;5441245510;42.366;33.404;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#10;2086270393;1910000000;3;0;16526;3382000000;5468270393;38.152;30.326;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#11;2054848294;1870000000;3;0;16495;3411000000;5465848294;37.594;29.885;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#12;1932216936;1780000000;1;0;16511;3552000000;5484216936;35.232;28.161;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#13;1818592027;1680000000;1;0;16523;3671000000;5489592027;33.128;26.564;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#14;1665528189;1530000000;0;0;16497;3861000000;5526528189;30.137;24.412;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#15;1567060775;1410000000;1;0;16424;3948000000;5515060775;28.414;23.028;
1700514080707;1;1;tpc-di;4000.0;16;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#2;2324598093;2190000000;1;0;17939;3113000000;5437598093;42.75;33.676;
